record_id,kode_wilayah,nama_wilayah,tingkat_wilayah,tahun,topik,kode_indikator,nama_indikator,nilai,satuan,jenis_disagregasi_1,kategori_disagregasi_1,jenis_disagregasi_2,kategori_disagregasi_2,versi_wilayah,dataset_asal
ID-0000028,11,Aceh,provinsi,2022,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,48.42,% penduduk dalam kelompok,area,rural,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000029,11,Aceh,provinsi,2022,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,52.99,% penduduk dalam kelompok,area,total,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000030,11,Aceh,provinsi,2022,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,62.74,% penduduk dalam kelompok,area,urban,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000031,11,Aceh,provinsi,2022,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,76.86,% rumah tangga dalam klasifikasi daerah,area,rural,,,id_34_pre_split,bps_household_internet
ID-0000032,11,Aceh,provinsi,2022,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,79.85,% rumah tangga dalam klasifikasi daerah,area,total,,,id_34_pre_split,bps_household_internet
ID-0000033,11,Aceh,provinsi,2022,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,85.64,% rumah tangga dalam klasifikasi daerah,area,urban,,,id_34_pre_split,bps_household_internet
ID-0000034,11,Aceh,provinsi,2022,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,48.92,% penduduk dalam kelompok,sex,female,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000035,11,Aceh,provinsi,2022,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,57.08,% penduduk dalam kelompok,sex,male,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000036,11,Aceh,provinsi,2023,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,53.93,% penduduk dalam kelompok,area,rural,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000037,11,Aceh,provinsi,2023,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,59.3,% penduduk dalam kelompok,area,total,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000038,11,Aceh,provinsi,2023,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,69.43,% penduduk dalam kelompok,area,urban,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000039,11,Aceh,provinsi,2023,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,84.59,% rumah tangga dalam klasifikasi daerah,area,rural,,,id_34_pre_split,bps_household_internet
ID-0000040,11,Aceh,provinsi,2023,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,86.46,% rumah tangga dalam klasifikasi daerah,area,total,,,id_34_pre_split,bps_household_internet
ID-0000041,11,Aceh,provinsi,2023,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,89.84,% rumah tangga dalam klasifikasi daerah,area,urban,,,id_34_pre_split,bps_household_internet
ID-0000042,11,Aceh,provinsi,2023,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,55.17,% penduduk dalam kelompok,sex,female,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000043,11,Aceh,provinsi,2023,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,63.49,% penduduk dalam kelompok,sex,male,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000044,11,Aceh,provinsi,2023,Komponen pembangunan TIK,fixed_broadband_norm,"Broadband tetap per 100 penduduk, ternormalisasi",0.46,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000045,11,Aceh,provinsi,2023,Komponen pembangunan TIK,fixed_telephone_norm,"Telepon tetap per 100 penduduk, ternormalisasi",0.98,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000046,11,Aceh,provinsi,2023,Komponen pembangunan TIK,household_computer_norm,"Rumah tangga dengan komputer, ternormalisasi",1.51,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000047,11,Aceh,provinsi,2023,Komponen pembangunan TIK,household_internet_norm,"Rumah tangga dengan internet, ternormalisasi",8.65,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000048,11,Aceh,provinsi,2023,Komponen pembangunan TIK,individual_internet_norm,"Individu pengguna internet, ternormalisasi",5.93,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000049,11,Aceh,provinsi,2023,Komponen pembangunan TIK,international_bandwidth_norm,"Bandwidth internet internasional per pengguna, ternormalisasi",8.09,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000050,11,Aceh,provinsi,2023,Komponen pembangunan TIK,mean_years_school_norm,"Rata-rata lama sekolah, ternormalisasi",6.59,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000051,11,Aceh,provinsi,2023,Komponen pembangunan TIK,mobile_broadband_norm,"Broadband seluler per 100 penduduk, ternormalisasi",10,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000052,11,Aceh,provinsi,2023,Komponen pembangunan TIK,mobile_cellular_norm,"Telepon seluler per 100 penduduk, ternormalisasi",10,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000053,11,Aceh,provinsi,2023,Komponen pembangunan TIK,secondary_enrolment_norm,"Partisipasi pendidikan sekunder, ternormalisasi",9.46,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000054,11,Aceh,provinsi,2023,Komponen pembangunan TIK,tertiary_enrolment_norm,"Partisipasi pendidikan tinggi, ternormalisasi",4.28,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000055,11,Aceh,provinsi,2023,Pembangunan TIK,access_infrastructure_subindex,Subindeks akses dan infrastruktur TIK,5.84,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_province_2023_2024
ID-0000056,11,Aceh,provinsi,2023,Pembangunan TIK,ict_development_index,Indeks Pembangunan TIK,5.88,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_province_2023_2024
ID-0000057,11,Aceh,provinsi,2023,Pembangunan TIK,skills_proxy_subindex,Subindeks proksi keahlian TIK,6.78,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_province_2023_2024
ID-0000058,11,Aceh,provinsi,2023,Pembangunan TIK,use_subindex,Subindeks penggunaan TIK,5.46,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_province_2023_2024
ID-0000059,11,Aceh,provinsi,2024,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,58.66,% penduduk dalam kelompok,area,rural,,,id_38_2024,bps_internet_access_history_province_2017_2024
ID-0000060,11,Aceh,provinsi,2024,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,62.93,% penduduk dalam kelompok,area,total,,,id_38_2024,bps_internet_access_history_province_2017_2024
ID-0000061,11,Aceh,provinsi,2024,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,70.8,% penduduk dalam kelompok,area,urban,,,id_38_2024,bps_internet_access_history_province_2017_2024
ID-0000062,11,Aceh,provinsi,2024,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,86.97,% rumah tangga dalam klasifikasi daerah,area,rural,,,id_38_2024,bps_household_internet
ID-0000063,11,Aceh,provinsi,2024,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,88.95,% rumah tangga dalam klasifikasi daerah,area,total,,,id_38_2024,bps_household_internet
ID-0000064,11,Aceh,provinsi,2024,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,92.6,% rumah tangga dalam klasifikasi daerah,area,urban,,,id_38_2024,bps_household_internet
ID-0000065,11,Aceh,provinsi,2024,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,59.04,% penduduk dalam kelompok,sex,female,,,id_38_2024,bps_internet_gender_history_province_2018_2024
ID-0000066,11,Aceh,provinsi,2024,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,66.87,% penduduk dalam kelompok,sex,male,,,id_38_2024,bps_internet_gender_history_province_2018_2024
ID-0000067,11,Aceh,provinsi,2024,Komponen pembangunan TIK,fixed_broadband_norm,"Broadband tetap per 100 penduduk, ternormalisasi",0.64,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000068,11,Aceh,provinsi,2024,Komponen pembangunan TIK,fixed_telephone_norm,"Telepon tetap per 100 penduduk, ternormalisasi",1.11,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000069,11,Aceh,provinsi,2024,Komponen pembangunan TIK,household_computer_norm,"Rumah tangga dengan komputer, ternormalisasi",1.55,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000070,11,Aceh,provinsi,2024,Komponen pembangunan TIK,household_internet_norm,"Rumah tangga dengan internet, ternormalisasi",8.9,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000071,11,Aceh,provinsi,2024,Komponen pembangunan TIK,individual_internet_norm,"Individu pengguna internet, ternormalisasi",6.29,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000072,11,Aceh,provinsi,2024,Komponen pembangunan TIK,international_bandwidth_norm,"Bandwidth internet internasional per pengguna, ternormalisasi",8.52,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000073,11,Aceh,provinsi,2024,Komponen pembangunan TIK,mean_years_school_norm,"Rata-rata lama sekolah, ternormalisasi",6.63,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
